x,y,z,quality,true_x,true_y,true_z
0.39448783,0.15355992,0.27562186,64,0.5,0.25,0.0
0.42215985,0.12948756,0.24577224,69,0.5,0.25,0.0
0.40886733,0.15121707,0.24097499,66,0.5,0.25,0.0
0.40134278,0.16039935,0.25506139,58,0.5,0.25,0.0
0.4124693,0.1551317,0.21019211,87,0.5,0.25,0.0
0.43111473,0.091410875,0.11650763,78,0.5,0.25,0.0
0.42552105,0.10287692,0.15650447,61,0.5,0.25,0.0
0.44836482,0.049249858,0.083359063,78,0.5,0.25,0.0
0.42903805,0.073746614,0.1267301,55,0.5,0.25,0.0
0.4327589,0.10738557,0.13837692,80,0.5,0.25,0.0
0.42955548,0.12310759,0.14171389,79,0.5,0.25,0.0
0.42716333,0.14143693,0.18852651,64,0.5,0.25,0.0
0.4196232,0.12786846,0.20925465,63,0.5,0.25,0.0
0.426059,0.12885939,0.23889311,68,0.5,0.25,0.0
0.43994993,0.13394876,0.25634804,69,0.5,0.25,0.0
0.43923488,0.14694336,0.20537411,93,0.5,0.25,0.0
0.43299389,0.14471328,0.22318552,62,0.5,0.25,0.0
0.42535132,0.13599186,0.23329048,61,0.5,0.25,0.0
0.43115646,0.15148708,0.20109479,90,0.5,0.25,0.0
0.408881,0.16381828,0.21385539,58,0.5,0.25,0.0
0.41269696,0.15386705,0.23607957,65,0.5,0.25,0.0
0.41195911,0.16652726,0.24189614,61,0.5,0.25,0.0
0.44038907,0.15727721,0.21761814,79,0.5,0.25,0.0
0.42974663,0.1703466,0.23813461,60,0.5,0.25,0.0
0.4485575,0.16550453,0.20624171,87,0.5,0.25,0.0
0.43180338,0.18498169,0.20946324,70,0.5,0.25,0.0
0.42487869,0.18471406,0.22553368,59,0.5,0.25,0.0
0.43673888,0.18441911,0.18506975,94,0.5,0.25,0.0
0.45166942,0.16931014,0.18186295,75,0.5,0.25,0.0
0.445643,0.17307042,0.21378238,64,0.5,0.25,0.0
0.46355659,0.16792138,0.1875881,87,0.5,0.25,0.0
0.45281267,0.17342256,0.22166879,64,0.5,0.25,0.0
0.43981943,0.15886255,0.23647492,62,0.5,0.25,0.0
0.45215571,0.15335211,0.19275832,90,0.5,0.25,0.0
0.45208311,0.14164925,0.22454737,69,0.5,0.25,0.0
0.43873098,0.1409297,0.22520344,62,0.5,0.25,0.0
0.43833506,0.13258848,0.1843854,83,0.5,0.25,0.0
0.43013105,0.1088471,0.207946,67,0.5,0.25,0.0
0.42847112,0.1200945,0.21929328,61,0.5,0.25,0.0
0.4556413,0.11222786,0.24922678,71,0.5,0.25,0.0
0.43972769,0.13327715,0.25536385,57,0.5,0.25,0.0
0.39576539,0.12916785,0.26076728,46,0.5,0.25,0.0
0.39461178,0.14415942,0.26772526,58,0.5,0.25,0.0
0.38256761,0.1723543,0.26072085,63,0.5,0.25,0.0
0.40716258,0.16182777,0.26801467,68,0.5,0.25,0.0
0.4139646,0.15060645,0.28203386,67,0.5,0.25,0.0
0.44089028,0.14729884,0.28755173,69,0.5,0.25,0.0
0.46206841,0.14706661,0.29840389,69,0.5,0.25,0.0
0.45512313,0.14569736,0.258905,79,0.5,0.25,0.0
0.44137466,0.14265682,0.27285534,63,0.5,0.25,0.0
0.43311539,0.1405634,0.12473318,64,0.5,0.25,0.0
0.43819708,0.14067273,0.10695834,89,0.5,0.25,0.0
0.43943143,0.14012773,0.10307469,85,0.5,0.25,0.0
0.43059975,0.14763717,0.14792973,60,0.5,0.25,0.0
0.45212734,0.14576906,0.13942398,85,0.5,0.25,0.0
0.43349466,0.15772906,0.18820417,61,0.5,0.25,0.0
0.4229126,0.17572463,0.21455503,58,0.5,0.25,0.0
0.42428049,0.15994336,0.23197234,65,0.5,0.25,0.0
0.42762029,0.16352691,0.18517514,93,0.5,0.25,0.0
0.43040013,0.15726838,0.1535534,88,0.5,0.25,0.0
0.42221805,0.15133508,0.1926593,63,0.5,0.25,0.0
0.41704941,0.14974993,0.15923931,86,0.5,0.25,0.0
0.41479057,0.1319945,0.19628799,66,0.5,0.25,0.0
0.41886303,0.13793266,0.15383361,91,0.5,0.25,0.0
0.43874675,0.1390449,0.14551197,85,0.5,0.25,0.0
0.42915124,0.14257464,0.19329296,64,0.5,0.25,0.0
,,,0,0.5,0.25,0.0
